"Welcher Zeitform kann man die Aussage ""Ich werde dich gesehen haben"" zuordnen?";Präteritum;Futur II;Futur;Plusquamperfekt;2;Allgemeinwissen 2
"Wie ist der Originaltitel von dem Buch ""Das Schicksal ist ein mieser Verräter""?";A Traitor named Destiny;Determination;Fate is a bad traitor;The Fault in our stars;4;Allgemeinwissen 2
Welches Element dient nicht als essenzielles Spurenelement des Menschen?;Magnesium;Eisen;Iod;Selen;1;Allgemeinwissen 2
Wer ist seit Januar 2017 Vize US-Präsident?;Mike Pence;Jared Kushner;James Comey;Michael Flynn;1;Allgemeinwissen 2
In welchem Jahrhundert lebte Jeanne D'Arc?;13. Jahrhundert;14. Jahrhundert;15. Jahrhundert;16. Jahrhundert;3;Allgemeinwissen 2
Wer war Präsident der USA als der Friedensvertrag von Versailles unterschrieben wurde?;Woodrow Wilson;David Lloyd George;John F. Kennedy;George W. Bush;1;Allgemeinwissen 2
"Welches Wort war 2016 ""Unwort des Jahres""?";Volksverräter;Swag;Gutmensch;Sozialmensch;1;Allgemeinwissen 2
Was war der Grund für die Notlandung eines Flugzeuges 2009 auf dem Hudson River?;Defektes Fahrwerk;Terrorist an Bord;Kein Treibstoff mehr;Vögel in den Triebwerken;4;Allgemeinwissen 2
Funktionäre von welcher Organisation wurden im Mai 2015 in der Schweiz in einem Hotel festgenommen?;Greenpeace;OPEC;FIFA;Weltbank;3;Allgemeinwissen 2
In welchem Zeitraum war Arnold Schwarzenegger Gouverneur von Kalifornien?;1998-2002;2003-2011;1987-1994;2011-2012;2;Allgemeinwissen 2
In welche Stadt wanderte Willy Brandt 1934 aus?;Oslo;München;Kopenhagen;New York;1;Allgemeinwissen 2
Was ist ein Undercut?;Eine Technik zum Fleisch-Schneiden;Eine Methode des Buchsbaumtrimmers;Ein Haarschnitt;Eine Operationsmethode;3;Allgemeinwissen 2
"Was war im Lateinischen ursprünglich mit dem Wort ""Genie"" gemeint?";Frau;Kind;Mann;Sklave;3;Allgemeinwissen 2
Wie viele Planeten gehören zu unserem Sonnensystem?;3;8;9;10;2;Allgemeinwissen 2
Wie verreist jemand, der viel Gepäck mitnimmt?;Mit Vater und Kugel;Mit Hund und Rechteck;Mit Kind und Kegel;Mit Hund und Ball;3;Allgemeinwissen 2
Welche Wirtschaftsordnung existiert innerhalb von Deutschland?;Zentralwirtschaft;Planwirtschaft;Freie Marktwirtschaft;Soziale Marktwirtschaft;4;Allgemeinwissen 2
Wie nennt man eine negativ gestimmte Person?;Pessimist;Komponist;Optimist;Negativist;1;Allgemeinwissen 2
Wie lautet der echte Name von Eminem?;Stevie Wonder;Eminem Jacobs;Marty Davis;Marshall Mathers;4;Prominente
"Wer spielt Elizabeth Swan in dem Film ""Fluch der Karibik""?";Charlize Theron;Keira Knightley;Scarlett Johansson;Penélope Cruz;2;Prominente
An welchem Bauwerk in den USA kann man Handabdrücke von Emma Watson erkennen?;Willis Tower;Golden Gate Bridge;Grauman's Chinese Theatre;Empire State Building;3;Prominente
Wer war Robert Koch?;Mediziner & Biologe;Landesminister;Stabhochspringer;Autor & Journalist;1;Prominente
Wie lautete der Spitzname von Uwe Seeler?;Ulli;Jeder hat ihn einfach Uwe genannt;Use;Uns Uwe;4;Prominente
Was war Picasso von Beruf?;Koch;Pilot;Maler & Bildhauer;Ingenieur;3;Prominente
Als was wurde Henry Rono 1978 berühmt?;Boxer;Schwimmer;Basketballer;Leichtathlet;4;Prominente
Welche Auszeichnung erhielt Peter Maffay 1996?;Friedensnobelpreis;Die goldene Rose;Oscar;Bundesverdienstkreuz;4;Prominente
Wo wurde die britische Schauspielerin Catherine Zeta Jones geboren?;Liverpool -England;Fürth - Bayern;Swansea - Wales;Reno - Nevada;3;Prominente
"Von wem ist der Sommer Hit ""Bailando""?";Lola;Loona;Luna;Nora;2;Prominente
Wie heißt das Kind von Pietro Lombardi?;Albert;Pietro Junior;Alessio;Tim;3;Prominente
Wie viele Kinder hat Til Schweiger?;0;1;3;4;4;Prominente
Wie viele Harry Potter Filme gibt es?;6;10;8;9;3;Prominente
Wie lautet der echte Name von TV-Moderator Joko?;Jonas;Johann;Jon;Joachim;4;Prominente
"Welcher Maler erschuf das Bild ""Die Nachtwache""?";Rembrandt;Vincent van Gogh;Franz Marc;Claude Monet;1;Prominente
Welcher dieser Filme stammt nicht von Richard Lester?;Die drei Musketiere;Superman (1978);Royal Flash;Casino;4;Prominente
In welchem Ort schuf der Geigenbauer Antonio Stradivari seine Instrumente?;Meran ;Rom;Cremona;Pisa;3;Prominente
"Wie viele Jahre widmete Johann Wolfgang von Goethe seiner Arbeit an ""Faust""?";14 Jahre;8 Jahre;35 Jahre;64 Jahre;4;Prominente
"In welchem Jahr moderierte Heidi Klum das erste mal ""Germanys next Topmodel""?";2004;2006;2008;2009;2;Prominente
"Wer ist auch besser bekannt als der ""King of Pop""?";Elton John;Dieter Bohlen;Flavio Schröder;Michael Jackson;4;Prominente
In welchem Ozean befindet sich der Golfstrom?;Arktischer Ozean;Indischer Ozean;Pazifischer Ozean;Atlantischer Ozean;4;Geografie
An welchem Fluss liegt Amsterdam?;Ajax;Tuborg;Heineken;Amstel;4;Geografie
Wie heißt die Hauptstadt von Zypern?;Zagreb;Nikosia;Zypern-City;Rhodos;2;Geografie
An welchen Flüssen liegt New York?;Mississippi-Hudson;Hudson-East River;Potomac-Hudson;Missouri-Potomac;2;Geografie
Wie heißt eine Stadt in Österreich?;Salzburg;Salzschloss;Salzmine;Salzgitter;1;Geografie
In welchem Bundesstaat der USA sind die Yosemite-Fälle?;Arkansas;Alaska;Kalifornien;Missouri;3;Geografie
Wie heißt die Hauptstadt der Bahamas?;Kingston;Nassau;St. Georges;Havanna;2;Geografie
Wie heißt die zweitgrößte Stadt Englands?;Leeds;Liverpool;Manchester;Birmingham;4;Geografie
Wie heißt der größte See der Schweiz?;Genfer See;Lago Maggiore;Luganer See;Ovomaltine See;1;Geografie
British Columbia gehört zu…?;USA;Kanada;Australien;Kolumbien;2;Geografie
Balaton ist der ungarische Name für?;Langensee;Gardasee;Plattensee;Bodensee;3;Geografie
Welche Staaten haben die gleiche Flagge?;Lybien und Saudi-Arabien;Irak und Iran;Paraguay und Uruguay;Tschad und Rumänien;4;Geografie
Amtssprache in Sierra Leone ist…;Spanisch;Italienisch;Französisch;Englisch;4;Geografie
Was ist die Übersetzung von Buenos Aires?;Gute Sicht;Gutes Wasser;Gute Lüfte;Gute Seen;3;Geografie
Welche dieser Städte liegt nicht in Sachsen?;Leipzig;Chemnitz;Schwerin;Zwickau;3;Geografie
In welcher Metropolregion (Stadt und Umland) leben die meisten Menschen der Welt?;New York;Tokio;Sao Paulo;Mexiko Stadt;2;Geografie
Wie weit ist der Mond von der Erde entfernt?;ca 390.000 Kilometer;ca. 110.000 Kilometer;ca. 30.000 Kilometer;ca. 490.000 Kilometer;1;Geografie
"Welcher der Folgenden zählt nicht zu den sogenannten ""Zwergstaaten""?";Zypern;Vatikanstadt;Andorra;Liechtenstein;1;Geografie
Wie heißt die Landeshauptstadt von Rheinland-Pfalz?;Koblenz;Mainz;Heidelberg;Baden;2;Geografie
Was sind Nomaden?;Selbstversorger;Eine Städtegruppe in den USA;Früchte des Nomadenbaums;Menschen mit einer nicht-sesshaften Lebensweise;4;Geografie
Welche der folgenden Eigenschaften beschreibt einen Aal am besten?;kurz und breit;stämmig und aufrecht;lang und dünn;klein und blind;3;Tiere
Wie viele Eier legt ein Haushuhn im Jahr?;ca. 300;ca. 50;ca. 100;ca. 150;4;Tiere
Wie nennt man kleine Pferde?;Stute;Hengst;Fohlen;Pony;4;Tiere
In welcher Gesellschaftsform leben Wölfe?;Rudel;Schwarm;Gruppe;Alleine;1;Tiere
Wie nennt man die Hülle von Insektengruppen?;Kokon;Koko;Kowcom;Balsam;1;Tiere
Was ist ein Mondvogel?;Schmetterling;Fisch;Vogel;Katze;1;Tiere
Wie nennt man ein junges Schwein?;Welpe;Sau;Ferkel;Frischling;3;Tiere
Wie nennt man die weißlichen Flecken, die Pferde auf der Stirn haben?;Stern;Mond;Fleck;Sonne;1;Tiere
Was ist ein Nautilus?;Fisch;Krebs;Amphibie;Weichtier;4;Tiere
Wie viele Beine hat eine Spinne?;4;6;10;8;4;Tiere
Wie nennt man die Welt der Tiere?;Fama;Fauna;Steppe;Flora;2;Tiere
Wie nennt man das Anpassen der Farbe von Tieren?;Mimose;Mimik;Mime;Mimikry;4;Tiere
Was sind Meerkatzen?;Vögel;Fische;Affen;Schildkröten;3;Tiere
Wovon hat der Oktopus gleich drei?;Arme;Augen;Tentakel;Herzen;4;Tiere
Welches der folgenden Tiere hält keinen Winterschlaf?;Eichhörnchen;Igel;Murmeltier;Fledermaus;1;Tiere
Welches Tier ist der größte Seevogel?;Pinguin;Albatros;Seemöwe;Steinwälzer;2;Tiere
Welches dieser Insekten schafft eine Fluggeschwindigkeit bis zu 50 km/h?;Biene;Motte;Libelle;Fliege;3;Tiere
Wie nennt man ein Pferd mit rötlichem Fell?;Fuchs;Rappe;Falbe;Schimmel;1;Tiere
Welches Tier hat den meisten Schlaf pro Tag?;Braunbär;Faultier;Koala;Panda;3;Tiere
Was ist das ungefähre Gewicht von einem Panzernashorn?;2100 Kilo;800 Kilo;1300 Kilo;1650 Kilo;1;Tiere
In welchem Jahr wurde das Unternehmen Apple gegründet?;1971;1981;1966;1976;4;Business
Welche Firma hat Bill Gates gegründet?;IBM;Microsoft;Apple;Samsung;2;Business
"Für was steht die Abkürzung der Firma ""KIK""?";Kleidung ist kostengünstig;Kunde ist König; Kleidung immer klauen;Kinder in Kolumbien;2;Business
"Was ist kein Bestandteil der Abkürzung ""IKEA""?";Anfangsbuchstabe eines Namens;Anfangsbuchstabe eines Bauernhofes;Anfangsbuchstabe eines Haustieres;Anfangsbuchstabe eines Dorfes;3;Business
Wie hoch war der Brutto Umsatz der Aldi Gruppe im Jahre 2017?;ca. 29 Milliarden €;ca. 18 Millionen €;ca. 255 Millionen €;ca. 89 Milliarden €;1;Business
In welchem Jahr wurde die Unternehmensgruppe Real gegründet?;1995;1992;1984;2000;2;Business
Wie viele Jet-Tankstellen gibt es ungefähr in Deutschland?;250;470;800;1200;3;Business
Wo befindet sich der Hauptsitz des Unternehmens Rewe?;Köln;Berlin;Magdeburg;Duisburg;1;Business
Wie viele Mitarbeiter hat das Unternehmen Media Markt europaweit?;30.000;45.000;60.000;80.000;2;Business
"Wofür steht die Abkürzung ""Hanuta""?";Hans-Ulrich Talmann;Haselnuss - Nougat - Taler;Haselnusstafel;Haselnusstasche;3;Business
Wie viele selbstständige Personen gab es im Jahre 2018 in Deutschland?;0.85 Millionen;2.02 Millionen;1.13 Millionen;1.41 Millionen;4;Business
Wie hoch war der Durchschnittsverdienst in Deutschland pro Monat im Jahre 2017? (brutto);3.100 €;2.860 €;2.480 €;1.960 €;2;Business
Wie viele Patente wurden in Deutschland im Jahre 2018 angemeldet?;58.342;32.987;49.321;67.895;4;Business
Wie viele Unternehmen gab es im Jahre 2017 in Deutschland mit 250 oder mehr Mitarbeitern?;ca. 3.000;ca. 8.000;ca. 15.000;ca. 29.000;3;Business
Wer hat das Modell der freien Marktwirtschaft beschrieben?;Adam Opel;Ludwig Erhard;Helmut Schmidt;Adam Smith;4;Business
Wie heißen die beiden Gründer von Microsoft?;Bill Gates und Steve Jobs;Steve Jobs und Steve Ballmer;Bill Gates und Steve Ballmer;Bill Gates und Paul Allen;4;Business
Wer gilt als Erfinder des USB-Sticks?;Marcus Ericsson;Dov Moran;Olivier Giroud;Marc Jacobs;2;Business
Wie viele Apps gab es ungefähr im Jahre 2016 im Apple App Store?;8 Millionen;5 Millionen;100.000;2 Millionen;4;Business
Wer ist Gründer des Automobilherstellers Audi?;Dieter Zetsche;Ernst Fuchs;August Horch;Henry Ford;3;Business
Wer ist CEO des Elektroauto-Unternehmens Tesla?;Bill Gates;Elon Musk;James Westfield;John Rockefeller;2;Business
In welchem Jahr fiel die Mauer der DDR?;1991;1985;1981;1989;4;Geschichte
Wann begann der Bau der Berliner Mauer?;17.11.1960;30.07.1961;13.08.1961;12.08.1962;3;Geschichte
Wie viele Menschen sind bei dem Fluchtversuch aus der DDR ums Leben gekommen?;ca. 100;ca. 800;mehr als 1000;mehr als 50.000;3;Geschichte
Wann hat der ägyptische König Tutanchamun regiert?;400-352 v.Chr.;3985-3927 v.Chr.;297-279 v.Chr.;1332-1323 v.Chr.;4;Geschichte
Das osmanische Reich bestand bis zum Jahre…;1453;1866;1920;1923;3;Geschichte
Wann entstand in Frankreich das erste Kaiserreich?;1815;1804;1796;1799;2;Geschichte
Wer erfand das Schießpulver?;Chinesen;Ägypter;Italiener;Koreaner;1;Geschichte
Wann entstand der Völkerbund?;1918-1945;1920-1946;1919-1947;1921-1948;2;Geschichte
"Wann war die sogenannte ""Boston Tea Party""?";1773;1776;Letzten Mittwoch;1798;1;Geschichte
Welches Volk zerstörte Karthago?;Griechen;Römer;Kelten;Vandalen;2;Geschichte
James Cook segelte um die Welt mit der…;Santa Maria;Pinta;Challenger;Endeavour;4;Geschichte
In welchem Jahr wurde die Hagia Sophia zum Museum?;1935;1937;1933;1923;1;Geschichte
In welchem Jahr wurde Island ein selbstständiger Staat?;1818;1848;1874;1918;4;Geschichte
Wann spaltete sich Belgien von den Niederlanden zu einem unabhängigen Staat ab?;1730;1830;1848;1903;2;Geschichte
Welche Epoche folgt auf die Romanik?;Barock;Antike;Renaissance;Gotik;4;Geschichte
Welches Ereignis gilt als Auslöser des ersten Weltkrieges?;Attentat von Wien;Attentat von Berlin;Attentat von Sarajevo;Attentat von Budapest;3;Geschichte
Von wem stammt der Text der deutschen Nationalhymne?;Heinrich Heine;Johann Wolfgang von Goethe;Hoffmann von Fallersleben;Friedrich Schiller;3;Geschichte
Wie hieß der erste Präsident der Weimarer Republik?;Konrad Adenauer;Heinrich Brüning;Paul von Hindenburg;Friedrich Ebert;4;Geschichte
Was ist auf der Rückseite der deutschen 2€-Münze zu sehen?;Der Bundestag;Das Brandenburger Tor;Angela Merkel;Der Bundesadler;4;Geschichte
In welchem Jahrhundert wurde der Buchdruck erfunden?;14. Jahrhundert;15. Jahrhundert;16. Jahrhundert;17. Jahrhundert;2;Geschichte
Wie heißt der Hauptcharakter des Western Spiels Red Dead Redemption?;John Wick;John Marston;Michael de Santa;Gordon Freeman;2;Spiele & Unterhaltung
In welchem Jahr wurde der Spieleklassiker Tetris erstmals veröffentlicht?;1978;1981;1988;1984;4;Spiele & Unterhaltung
"Was für ein Spiel ist ""Pong""?";Rennspiel;Tischtennis;Jump N' Run;Strategiespiel;2;Spiele & Unterhaltung
Welches Easter Egg ist auf dem höchsten Berg von GTA V, wenn man das Spiel auf 100% gespielt hat?;Einhorn;Goldbarren;Schiff;Ufo;4;Spiele & Unterhaltung
Wie heißt der CEO von Sony?;Sundar Pichai;Akio Morita;Kenichiro Yoshida;Kazuro Hirai;3;Spiele & Unterhaltung
Welcher Entwickler und Publisher vertreibt die Far Cry Spielereihe?;Hazelights Studios;Electronic Arts;Ubisoft Entertainment;Bungie;3;Spiele & Unterhaltung
"Wann erschien das erste Spiel der ""Call of Duty"" Reihe?";2003;2005;2007;2002;1;Spiele & Unterhaltung
Wie hieß die XBOX Konsole, welche 2017 erschien?;XBOX One S;XBOX One X;XBOX 720;XBOX 361;2;Spiele & Unterhaltung
"Wie nennt sich die Spielewelt von ""Need for Speed Payback""?";Los Santos;San Andreas ;Sin City;Fortune Valley;4;Spiele & Unterhaltung
Wie heißt der Protagonist in Assassins Creed Origins?;Enzio;Bayek;Desmon;Connor;2;Spiele & Unterhaltung
Welcher Spieler ist auf dem Cover von Fifa 14 abgebildet?;Christiano Ronaldo;Ronaldinho;Lionel Messi;Thomas Müller;3;Spiele & Unterhaltung
Wie heißt der kleine blaue Igel, welcher schnell rennt?;Sonic;Tails;Knuckles;Mario;1;Spiele & Unterhaltung
Wann ist die erste Playstation Konsole erschienen?;1992;1995;1997;1994;4;Spiele & Unterhaltung
Welcher der folgenden Charaktere stammt nicht von Nintendo?;Yoshi;Donkey Kong;Nathan Drake;Link;3;Spiele & Unterhaltung
Wie heißt der kleine pinkfarbene Ball, der gerne springt?;Pikachu;Kirby;Tom Tom;Jumpy;2;Spiele & Unterhaltung
"In welchem Spiel gibt es ""Sackboys"" und ""Sackgirls""?";Little Big Planet;Sonic;Spyro;Ratchet & Clank;1;Spiele & Unterhaltung
Welche ist die am meisten verkaufte Konsole der Geschichte?;Xbox 360;Playstation 2;Nintendo Wii;Nintendo DS;2;Spiele & Unterhaltung
Mit welchem Slogan warb Sega Anfang der 90er?;Sega beats 'em all;Forget Nintendo buy Sega!;Sega does what Nintendo does not;Sega. it's in the game;3;Spiele & Unterhaltung
Welchen Beruf hat Super Mario? Zumindest entsprechend seiner Kleidung.;Sportler;Gefängniswärter;Pilot;Klempner;4;Spiele & Unterhaltung
In welchem Jahr erschien das erste Spiel aus der FIFA-Reihe?;1993;1996;2001;1998;1;Spiele & Unterhaltung
Wer ist die jüngste Schauspielerin von den Folgenden?;Dakota Fanning;Emma Watson;Emma Stone;Amanda Seyfried;1;Filme & Serien
In welchem dieser Filme kommt Natalie Portman NICHT vor?;Léon - der Profi;Black Swan;Amélie;Star Wars: Episode 1;3;Filme & Serien
Welche der folgenden Schauspielerinnen ist die Älteste?;Kathy Bakes;Judi Dench;Julianne Moore;Meryl Streep;2;Filme & Serien
"Wer spielte die Figur ""Sarah Connor"" in einem der Terminator-Filme?";Kim Basinger;Kathleen Turner;Brooke Shields;Linda Hamilton;4;Filme & Serien
In welchem Film spielt Al Pacino einen kubanischen Flüchtling, welcher sich in Miami ein Drogenimperium aufbaut?;Scarface;New Jack City;Goodfellas;The Godfather;1;Filme & Serien
In welchem animierten Film spricht Steve Carell die Stimme von Gru?;Ich- einfach unverbesserlich;Oben;Alice im Wunderland;Shrek;1;Filme & Serien
"Wer spielte die Rolle von Gott in dem Film ""Bruce Allmächtig""?";Morgan Freeman;Eddie Murphy;Samuel L Jackson;Chris Tucker;1;Filme & Serien
Wie heißt der beste Freund von SpongeBob?;Plankton;Mr. Krabs;Patrick;Larry;3;Filme & Serien
"In welcher Form besitzt Michael Scofield die Ausbruchspläne aus dem Gefängnis in der Serie ""Prison Break""?";Auf einem Laptop;Als Körpertattoo;Auf seine Zellwand gemalt;In Stimmform auf einem mp3-player;2;Filme & Serien
Wie heißt die Serie, in welcher ein Polizei-Mitarbeiter ein Doppelleben als Mörder führt?;Dexter;Breaking Bad;Sherlock;House of Cards;1;Filme & Serien
Für welche Rolle in Star Wars ist Harrison Ford bekannt?;Prinzessin Leia;Luke Skywalker;Han Solo;Chewbacca;3;Filme & Serien
"Welches der Mitglieder der ""Rolling Stones"" spielt eine Rolle in dem Film ""Fluch der Karibik""?";Mick Jagger;Keith Richards;Charlie Watts;Ronnie Wood;2;Filme & Serien
"Wie oft wurde ""Mary Poppins"" für den Oscar nominiert?";5 mal;10 mal;12 mal;13 mal;4;Filme & Serien
"Wer spielte an der Seite von George Clooney in ""Ocean's Eleven""?";Julia Roberts;Nicole Kidman;Demi Moore;Hella von Sinnen;1;Filme & Serien
Wie heißt die Band der Schauspielerin Anna Loos?;Silly;Hilly;Zilly;Billy;1;Filme & Serien
"Welchen Beruf übt Al Bundy in der Serie ""Eine schrecklich nette Familie"" aus?";Postbote;Pizza-Lieferant;Schuhverkäufer;Eisverkäufer;3;Filme & Serien
In welchem der folgenden Filme spielt Tom Hanks nicht mit?;Mein Partner mit der kalten Schnauze;Cast away;Big;Geschenkt ist noch zu teuer;1;Filme & Serien
"In welcher TV-Serie gibt es den ""Kwik-E-Mart""? ";Family Guy;Die Simpsons;South Park;Two and a half men;2;Filme & Serien
"Ein Filmklassiker von 1957 trägt den Namen ""Die Brücke am…""?";Kwai;Mekong;Ganges;Fluss;1;Filme & Serien
"Welcher Charakter kommt nicht in der Serie ""The Big Bang Theory"" vor?";Howard Wollowitz;Sheldon Cooper;Penny;Patrick;4;Filme & Serien
"Welcher Künstler erreichte Nummer 1 der Charts mit seinem Song ""Jump"" aus dem Jahre 1984?";Cream;Van Halen;Rainbow;Led Zeppelin;2;Musik
"Welche Band brachte den Song ""Innuendo"" auf die Nummer 1 der UK Hits?";The Pet Shop Boys;Take That;Queen;The Beach Boys;3;Musik
"In welchem Jahr gewann Deutschland den Eurovision Song Contest mit dem Lied ""Satellite""?";2008;2011;2009;2010;4;Musik
Welcher der folgenden Songs ist nicht von Michael Jackson?;Billie Jean;Immortal;Thriller;Slow Motion;4;Musik
Welcher der folgenden Künstler verfügt über die meisten insgesamt ausgezeichneten Einheiten?;Elvis Presley;The Beatles;Madonna;AC DC;2;Musik
Wie viele Alben muss ein Künstler in Deutschland verkaufen, um eine goldene Schallplatte zu erhalten?;80.000;100.000;130.000;1.000.000;2;Musik
Wann gelang es zum ersten mal Fernsehbilder in Farbe zu senden?;1952;1968;1949;1953;1;Musik
Wie heißt ein Lied von Udo Jürgens?;Aber bitte mit Rahm;Aber bitte mit Quark;Aber bitte mit Sahne;Aber bitte mit Obst;3;Musik
Wie viele Linien hat unser Notensystem?;3;4;5;6;3;Musik
"Wer sang ""Pack die Badehose ein""?";Peter Kraus;Caterina Valente;Conny Francis;Conny Froboess;4;Musik
"""Ich war noch niemals in"" … ?";Wuppertal;München;New York;Kiel;3;Musik
Wo steht die größte Orgel der Welt?;Philadelphia;Paris;Madrid;New York;1;Musik
Welchen Komponisten gibt es nicht?;Emile Waldteufel;Jannis Kampbart;John Francis Wade;Joseph Haydn;2;Musik
In welchem Ort wurde Pop-Titan Dieter Bohlen geboren?;Mainz;Eisenach;Berne;Jade;3;Musik
Wie viele Tasten hat normalerweise ein Klavier?;88;77;66;99;1;Musik
In welcher Oper geht es um einen niederländischen Kapitän?;Der fliegende Holländer;Die Abreise;Tiefland;Die toten Augen;1;Musik
"Ein Song von Prince handelt von einem Mädchen ""in a little … corvette""";yellow;purple;blue;red;4;Musik
Wie heißt der Titelsong von Rocky III?;Looking for Freedom;We are the champions;In the air tonight;Eye of the tiger;4;Musik
Woher kommen die Bands Europe und ABBA?;England;Schweden;Deutschland;Norwegen;2;Musik
Was ist ein Modell einer Drum Maschine?;B-211;TR299;Yamaha;808;4;Musik
Wofür steht die Abkürzung CPU?;Central Processing Unit;Computer Power Unit;Central Programming Unit;Central Processing Use;1;Computer
Wie heißt der Virus, der am 04. Mail 2000 weltweite viele Computer lahmlegte?;Moorhuhn;I love you;Sunshine;Wannacry;2;Computer
Wofür steht das D bei DHTML?;Dreamer;Distance;Denken;Dynamic;4;Computer
Wie nennt man eine Übersetzung aus dem Objekt- in den Quellcode?;Disclaimer;Disputation;Decompilierung;Hacken;3;Computer
1111 ist der binäre Ausdruck von?;16;15;11;13;2;Computer
Wie hieß das erste Überschallverkehrsflugzeug der Welt?;Concorde;Boeing 474;Falcon 9;Tupolew Tu-144;4;Computer
Wie bezeichnet man die schrittweise Lösung von Problemen?;Algorithmus;Logarithmus;BIOS;Firewall;1;Computer
"Was bedeutet die Abkürzung ""ROM"" in Bezug auf CD's?";Ready on mind;Read only memory;Rest on medium;React on mastery;2;Computer
Wie viele Bits sind ein Byte?;2;6;8;12;3;Computer
Was perfektionierte Henry Ford in Zusammenhang mit dem Bau von Automobilen?;Schweißtechniken;Fließbandarbeit;Benzinverbrauch;Abgasausstoß;2;Computer
Wann wurde die Computer-Maus der Öffentlichkeit vorgestellt?;1972;1970;1968;1966;1;Computer
Welcher der folgenden ist KEIN Algorithmus zum Sortieren von Werten?;Insertion Sort;Embedded Sort;Bubble Sort;Bucket Sort;2;Computer
Mit welchem HTML Tag kommt man in eine neue Zeile?;p;c;br;dt;3;Computer
Wie wird die sogenannte Hardwareadresse von Netzwerkgeräten bezeichnet?;IP Adresse;MAC-Adresse;Postleitzahl;IMEI;2;Computer
Was war früher ein Grund für das Abstürzen von Computern?;Zu großer Speicher;Division durch 0;Kein Strom;Zu schnelles Tippen;2;Computer
Wann wurde Windows 3.0 als eine der ersten Versionen des Betriebssystems veröffentlicht?;1990;1979;1984;1994;1;Computer
Was regelt die sogenannte Apache-Lizenz?;Den Verkauf von Musik;Das Teilen von Filmen und Serien;Die Verwendung von Software und Weiterverbreitung;Das Kopieren von Dokumenten;3;Computer
Was ist eine GUI?;General Usage of Informations;Graphical User Interface;Great User Investments;General undefinied Implementations;2;Computer
Wie viele Byte sind ein Kilobyte?;1024;12;2048;1080;1;Computer
Was ist das Maskottchen von dem Betriebssystem Linux?;Ein Eisbär;Eine Robbe;Ein Pinguin;Ein Frosch;3;Computer
Wann fanden die Olympischen Spiele in Los Angeles statt?;1928 und 1976;noch nie;1932 und 1980;1932 und 1984;4;Sport
